Soil-Type,ph,Remarks,EC,Remarks,C,Remarks,N,Remarks,P,Remarks,K,Remarks,S,Remarks,Zn,Remarks,B,Remarks,Fe,Remarks,Mn,Remarks,Cu,Remarks
Soil Type: Black soil
Soil Type: Black cotton soil
Soil Type: Black cotton soil
Soil Type: Black cotton soil
Soil Type: Black cotton soil
Soil Type: Black cotton soil
Soil Type: Black cotton soil
Soil Type: Black cotton soil
Soil Type: Black cotton soil,7.70,Moderately alkaline,0.41,Normal,0.36,Low,--, ,47.00,Very High,739.00,Very High,--, ,0.41,Deficient,--, ,4.58,Sufficient,5.72,Sufficient,1.32,Sufficient
Soil Type: Black cotton soil
Soil Type: Black cotton soil
Soil Type: Black cotton soil
Soil Type: Black cotton soil
Soil Type: Black cotton soil
Soil Type: Black cotton soil
Soil Type: Black cotton soil
Soil Type: Black cotton soil
Soil Type: Black cotton soil
Soil Type: Black cotton soil
Soil Type: Black cotton soil,8.10,Moderately alkaline,0.30,Normal,0.17,Very Low,--, ,47.00,Very High,739.00,Very High,--, ,0.42,Deficient,--, ,4.50,Deficient,5.76,Sufficient,1.48,Sufficient
Soil Type: Black cotton soil
Soil Type: Black cotton soil
Soil Type: Black cotton soil
Soil Type: Black cotton soil,7.40,Moderately alkaline,0.31,Normal,0.14,Very Low,--, ,33.00,High,820.00,Very High,--, ,0.48,Deficient,--, ,4.58,Sufficient,5.84,Sufficient,1.52,Sufficient
Soil Type: Black cotton soil
Soil Type: Black cotton soil
Soil Type: Black soil
Soil Type: Black soil
Soil Type: Black soil
Soil Type: Black soil,7.40,Moderately alkaline,0.23,Normal,0.38,Low,--, ,43.00,Very High,618.00,High,--, ,0.54,Deficient,--, ,4.45,Deficient,5.42,Sufficient,1.44,Sufficient
Soil Type: Black soil
Soil Type: Black soil
Soil Type: Black soil,7.40,Moderately alkaline,0.29,Normal,0.34,Low,--, ,47.00,Very High,551.00,High,--, ,0.54,Deficient,--, ,4.56,Sufficient,5.90,Sufficient,1.44,Sufficient
Soil Type: Black soil
Soil Type: Black soil
Soil Type: Black soil
